name,type,status,latitude,longitude,address,country,zip,timeZone,,addressBroken,cityBroken,stateBroken,,,,,,,,,,
APC1,Storage and Distribution Centers (SDC),Active,38.41232,-121.95661,"920 Eubanks Drive, Vacaville, CA",United States,95688,America/Los_Angeles (UTC:-07:00),,920 Eubanks Drive, Vacaville, CA,,,,,,,,,,
BEK1,Lockers +,Active,37.86911,-122.25977,"2475 Bancroft Way, Berkeley, CA",United States,94720,America/Los_Angeles (UTC:-07:00),,2475 Bancroft Way, Berkeley, CA,,,,,,,,,,
BFL1,AR Sortable,Active,35.44677,-119.0511,"1601 Petrol Road, Bakersfield, CA",United States,93308,America/Los_Angeles (UTC:-07:00),,1601 Petrol Road, Bakersfield, CA, Ismailia Road, Cairo,,,,,,,,
BFL2,Traditional Sortable,Active,35.45877,-119.20021,"4500 Express AVE, Shafter, CA",United States,93263,America/Los_Angeles (UTC:-07:00),,4500 Express AVE, Shafter, CA,,,,,,,,,,
BFL3,SPP,Active,38.7946,-106.53484,"2909 Houghton Rd., Bakersfield, CA",United States,93313,America/Denver (UTC:-06:00),,2909 Houghton Rd., Bakersfield, CA,,,,,,,,,,
BUR2,Lockers +,Active,34.06321,-118.44558,"923-925 Westwood Blvd, Los Angeles, CA",United States,90024,America/Los_Angeles (UTC:-07:00),,923-925 Westwood Blvd, Los Angeles, CA,,,,,,,,,,
BUR33,Office,Active,34.24101,-118.60469,"9410 Topanga Canyon Blvd, Chatsworth, CA",United States,91311,America/Los_Angeles (UTC:-07:00),,9410 Topanga Canyon Blvd, Chatsworth, CA, West Bengal,,,,,,,,,
BUR7,Returns,Active,34.02127,-117.52883,"11200 Iberia Street, Jurupa Valley, CA",United States,91752,America/Los_Angeles (UTC:-07:00),,11200 Iberia Street, Jurupa Valley, CA,, Hooghly, WB,,,,,,,
CAZ5,Sort Center,Active,34.43025,-117.40738,"Phelan Rd, Hesperia, CA",United States,,America/Los_Angeles (UTC:-07:00),,Phelan Rd, Hesperia, CA,, Hooghly, West Bengal,,,,,,,
CNO5,Sort Center,Active,33.98231,-117.61707,"8601 Merrill Avenue, Chino, CA",United States,91710,America/Los_Angeles (UTC:-07:00),,8601 Merrill Avenue, Chino, CA,,,,,,,,,,
CNO8,Storage and Distribution Centers (SDC),Active,34.36371,-118.51725,"21590 Needham Ranch Pkwy, Santa Clarita, CA",United States,91321,America/Los_Angeles (UTC:-07:00),,21590 Needham Ranch Pkwy, Santa Clarita, CA,,,,,,,,,,
CSD1,Lockers +,Active,32.87255,-117.24166,"9165 Scholars Dr S, La Jolla, CA",United States,92093,America/Los_Angeles (UTC:-07:00),,9165 Scholars Dr S, La Jolla, CA,,,,,,,,,,
DAV1,Lockers +,Active,38.54728,-121.71593,"2828 Cowell Blvd, Davis, CA",United States,95618,America/Los_Angeles (UTC:-07:00),,2828 Cowell Blvd, Davis, CA,,,,,,,,,,
DAX3,Delivery Station,Active,34.2398,-118.58546,"20730 Prairie Street, Chatsworth, CA",United States,91311,America/Los_Angeles (UTC:-07:00),,20730 Prairie Street, Chatsworth, CA,,,,,,,,,,
DAX5,Delivery Station,Active,34.01513,-117.95533,"15930 Valley Boulevard, City of Industry, CA",United States,91744,America/Los_Angeles (UTC:-07:00),,15930 Valley Boulevard, City of Industry, CA,,,,,,,,,,
DAX7,Delivery Station,Active,33.94859,-118.17568,"9350 Rayo Avenue, South Gate, CA",United States,90280,America/Los_Angeles (UTC:-07:00),,9350 Rayo Avenue, South Gate, CA,,,,,,,,,,
DAX8,Delivery Station,Active,34.59259,-118.1414,"600 West Technology Drive, Palmdale, CA",United States,93551,America/Los_Angeles (UTC:-07:00),,600 West Technology Drive, Palmdale, CA,,,,,,,,,,
DCA2,Grocery DC,Active,33.99364,-117.55264,"5250 Goodman Way, Eastvale, CA",United States,91752,America/Los_Angeles (UTC:-07:00),,5250 Goodman Way, Eastvale, CA,,,,,,,,,,
DCK1,Delivery Station,Active,37.81275,-121.26028,"2403 West Louise Avenue, Manteca, CA",United States,95337,America/Los_Angeles (UTC:-07:00),,2403 West Louise Avenue, Manteca, CA,,,,,,,,,,
DCK6,Delivery Station,Active,37.74233,-122.399,"749 Toland St, San Francisco, CA",United States,94124,America/Los_Angeles (UTC:-07:00),,749 Toland St, San Francisco, CA,,,,,,,,,,
DCW1,Delivery Station,Idle,33.86143,-118.21036,"3015 East Ana Street, Rancho Dominguez, CA",United States,90221,America/Los_Angeles (UTC:-07:00),,3015 East Ana Street, Rancho Dominguez, CA,,,,,,,,,,
DCW8,Delivery Station,Active,35.33323,-119.04161,"3400-3600 Wilson Rd, Bakersfield, CA",United States,93309,America/Los_Angeles (UTC:-07:00),,3400-3600 Wilson Rd, Bakersfield, CA,,,,,,,,,,
DCX1,Delivery Station,Active,33.95817,-117.45252,"7227 Central Avenue, Riverside, CA",United States,92504,America/Los_Angeles (UTC:-07:00),,7227 Central Avenue, Riverside, CA,,,,,,,,,,
DCX2,Delivery Station,Active,33.62152,-117.67958,"25725 Jeronimo Road, Mission Viejo, CA",United States,92691,America/Los_Angeles (UTC:-07:00),,25725 Jeronimo Road, Mission Viejo, CA,,,,,,,,,,
DCX5,Delivery Station,Active,37.33521,-121.85441,"970 McLaughlin Avenue, San Jose, CA",United States,95122,America/Los_Angeles (UTC:-07:00),,970 McLaughlin Avenue, San Jose, CA, Coimbatore, Tamil Nadu,,,,,,,,
DCX6,Delivery Station,Idle,34.29134,-118.85233,"6000 Condor DR & 6100 Condor DR, Moorpark, CA",United States,93021,America/Los_Angeles (UTC:-07:00),,6000 Condor DR & 6100 Condor DR, Moorpark, CA,,,,,,,,,,
DCX8,Delivery Station,Active,33.85194,-117.975,"1256 North Magnolia Avenue, Anaheim, CA",United States,92801,America/Los_Angeles (UTC:-07:00),,1256 North Magnolia Avenue, Anaheim, CA,,,,,,,,,,
DDO6,Delivery Station,Active,33.80515,-118.33439,"2751 Skypark Drive, Torrance, CA",United States,90505,America/Los_Angeles (UTC:-07:00),,2751 Skypark Drive, Torrance, CA,,,,,,,,,,
DFA5,Delivery Station,Active,37.64981,-122.39326,"400-438 Littlefield Avenue, South San Francisco, CA",United States,94080,America/Los_Angeles (UTC:-07:00),,400-438 Littlefield Avenue, South San Francisco, CA,,,,,,,,,,
DFA8,Delivery Station,Idle,37.3171,-121.86827,"1555 S Seventh St, San Jose, CA",United States,95112,America/Los_Angeles (UTC:-07:00),,1555 S Seventh St, San Jose, CA,,,,,,,,,,
DFA9,Delivery Station,Idle,37.71273,-121.88948,"5160 Hacienda Dr, Dublin, CA",United States,94568,America/Los_Angeles (UTC:-07:00),,5160 Hacienda Dr, Dublin, CA,,,,,,,,,,
DFO2,Delivery Station,Active,38.01072,-121.74845,"4000 Wilbur Ave, Oakley, CA",United States,94561,America/Los_Angeles (UTC:-07:00),,4000 Wilbur Ave, Oakley, CA,,,,,,,,,,
DFO3,Delivery Station,Active,37.70518,-121.70626,"400 Longfellow Court, Livermore, CA",United States,94550,America/Los_Angeles (UTC:-07:00),,400 Longfellow Court, Livermore, CA,,,,,,,,,,
DFO9,Delivery Station,Active,38.20467,-122.26795,"300 Boone Drive, American Canyon, CA",United States,94503,America/Los_Angeles (UTC:-07:00),,300 Boone Drive, American Canyon, CA,,,,,,,,,,
DFX3,Delivery Station,Active,33.94953,-118.38238,"5760 96th Street, Los Angeles, CA",United States,90045,America/Los_Angeles (UTC:-07:00),,5760 96th Street, Los Angeles, CA,,,,,,,,,,
DFX4,Delivery Station,Active,34.47387,-117.33101,"15272 Bear Valley Rd, Victorville, CA",United States,92395,America/Los_Angeles (UTC:-07:00),,15272 Bear Valley Rd, Victorville, CA,,,,,,,,,,
DFX9,Delivery Station,Active,33.74578,-118.03933,"14952 Bolsa Chica St, Huntington Beach, CA",United States,92647,America/Los_Angeles (UTC:-07:00),,14952 Bolsa Chica St, Huntington Beach, CA,,,,,,,,,,
DGB6,Delivery Station,Idle,33.13428,-117.23137,"3266 Lionshead Avenue, Carlsbad, CA",United States,92010,America/Los_Angeles (UTC:-07:00),,3266 Lionshead Avenue, Carlsbad, CA,,,,,,,,,,
DIB2,Delivery Station,Idle,32.723,-116.9644,"2500 Sweetwater Springs Boulevard, Spring Valley, CA",United States,91978,America/Los_Angeles (UTC:-07:00),,2500 Sweetwater Springs Boulevard, Spring Valley, CA,,,,,,,,,,
DIB5,Delivery Station,Active,32.65368,-116.95876,"860 Harold Place, Chula Vista, CA",United States,91914,America/Los_Angeles (UTC:-07:00),,860 Harold Place, Chula Vista, CA,,,,,,,,,,
