name,type,status,latitude,longitude,address,country,zip,timeZone
"ABE2","Traditional Sortable","Active","40.55783","-75.61497","705 Boulder Drive, Breinigsville, PA","United States","18031-1533","America/New_York (UTC:-04:00)"
"ABE3","IXD","Active","40.55522","-75.62134","650 Boulder Drive, Breinigsville, PA","United States","18031-1536","America/New_York (UTC:-04:00)"
"ABE4","Traditional Non-Sort","Active","40.74138","-75.27827","1610 Van Buren Road, Easton, PA","United States","18045","America/New_York (UTC:-04:00)"
"ABE5","MbA","Active","40.12461","-75.39722","2455 Boulevard of the Generals, Norristown, PA","United States","19403","America/New_York (UTC:-04:00)"
"ABE8","IXD","Active","40.11015","-74.80167","401 Independence Road, Florence, NJ","United States","08518","America/New_York (UTC:-04:00)"
"ABQ1","AR Sortable","Active","35.08057","-106.8045","12945 Ladera Dr NW, Albuquerque, NM","United States","87120","America/Denver (UTC:-06:00)"
"ABQ2","IXD","Active","34.82536","-106.81426","6251 Pioneer Trail NW, Los Lunas, NM","United States","87031","America/Denver (UTC:-06:00)"
"ABQ5","Sort Center","Active","35.08378","-106.8059","15480 Reservoir Road NW, Albuquerque, NM","United States","87121","America/Denver (UTC:-06:00)"
"ACY1","AR Sortable","Active","39.82355","-75.21681","240 Mantua Grove Road, West Deptford, NJ","United States","08066","America/New_York (UTC:-04:00)"
"ACY2","Traditional Non-Sort","Active","40.08723","-74.83792","1101 East Pearl Street, Burlington, NJ","United States","08016","America/New_York (UTC:-04:00)"
"ACY5","Sort Center","Active","39.77521","-75.37746","2277 Center Square Road, Bridgeport, NJ","United States","08014","America/New_York (UTC:-04:00)"
"ACY8","Sort Center","Active","40.05465","-74.88308","8 Campus Drive, Burlington, NJ","United States","08016","America/New_York (UTC:-04:00)"
"ACY9","Sort Center","Active","39.76699","-75.38311","1150 Commerce Dr, Logan Township, NJ","United States","08085","America/New_York (UTC:-04:00)"
"AFW1","Apparel","Active","32.84229","-97.32911","1851 NE Loop 820, Fort Worth, TX","United States","76131","America/Chicago (UTC:-05:00)"
"AFW2","Returns","Active","32.73497","-96.60605","12728 Lake June Rd, Balch Springs, TX","United States","75181","America/Chicago (UTC:-05:00)"
"AFW5","Sort Center","Active","32.73497","-96.60605","12728 Lake June Rd, Balch Springs, TX","United States","75181","America/Chicago (UTC:-05:00)"
"AFW9","SPP","Idle","32.73351","-96.39542","1111 Akron Way, Forney, TX","United States","75126","America/Chicago (UTC:-05:00)"
"AGR40","Delivery Station","Active","27.21179","78.06248","U.P State Warehousing Corp., Godown No. 1,, Agra, Uttar Pradesh","India","283204","Asia/Kolkata (UTC:+05:30)"
"AGS1","AR Sortable","Active","33.5011","-82.32347","2150 Discovery Drive, Appling, GA","United States","30802","America/New_York (UTC:-04:00)"
"AGS2","AR Quick Deploy","Active","34.17663","-83.65273","429 Toy Wright Road, Pendergrass, GA","United States","30567","America/New_York (UTC:-04:00)"
"AGS5","Sort Center","Active","33.50765","-82.33035","785 Innovation Pkwy, Appling, GA","United States","30802","America/New_York (UTC:-04:00)"
"AID2","ASU","Active","42.32142","-111.29689","276 North 4th Street, Montpelier, ID","United States","83254","America/Boise (UTC:-06:00)"
"AKC1","AR Sortable","Active","41.04792","-81.58428","2400 Romig Road, Akron, OH","United States","44320","America/New_York (UTC:-04:00)"
"AKH4","MbA","Idle","35.26616","-81.12805","525 Scalybark Rd, Gastonia, NC","United States","28054","America/New_York (UTC:-04:00)"
"AKR1","Traditional Non-Sort","Active","40.84703","-81.31239","4747 Rebar Ave NE, Canton, OH","United States","44705","America/New_York (UTC:-04:00)"
"AKS5","ASU","Active","38.36503","-98.78823","1315 Lincoln St and 3520 Lakin Ave, Great Bend, KS","United States","67530","America/Chicago (UTC:-05:00)"
"AKT1","ASU","Active","40.7568","-79.64065","167 Northpointe Boulevard, Freeport, PA","United States","16229","America/New_York (UTC:-04:00)"
"ALB1","Traditional Non-Sort","Active","42.54102","-73.68144","1835 US Route 9, Schodack, NY","United States","12033","America/New_York (UTC:-04:00)"
"ALB5","Sort Center","Active","42.54958","-73.68043","1710 Schodack Valley Rd, Castleton, NY","United States","12033","America/New_York (UTC:-04:00)"
"ALT1","UFF","Active","52.05317","-0.70431","MK169, MILTON KEYNES","United Kingdom","MK15 0DQ","Europe/London (UTC:+01:00)"
"AMA1","Traditional Non-Sort","Active","35.23383","-101.74667","2395 N. Lakeside Drive, Amarillo, TX","United States","79108-7749","America/Chicago (UTC:-05:00)"
"AMD2","Fulfillment Center","Active","22.86689","72.41528","Industrial Park-1,Village Rajoda Taluka Bavla, Ahmedabad, Gujarat","India","382220","Asia/Kolkata (UTC:+05:30)"
"AMD2b","Fulfillment Center","Active","22.84094","72.36883","Gallops Industrial Park - 1, Village Rajoda, Ahmedabad, Gujarat","India","382220","Asia/Kolkata (UTC:+05:30)"
"AMD41","Delivery Station","Active","23.01711","72.51559","Aangan Banquet, Opp. Nandanvan IV,B/H Jodhpur Village, Satellite, Ahmedabad, Gujarat","India","380015","Asia/Kolkata (UTC:+05:30)"
"AMO2","ASU","Active","40.07393","-93.59429","2006 E 9th St., Trenton, MO","United States","64683","America/Chicago (UTC:-05:00)"
"ANC1","ASU","Active","34.87887","-76.90557","218 East Main Street, Havelock, NC","United States","28532","America/New_York (UTC:-04:00)"
"ANM1","RSR","Active","35.53493","-108.76234","1310 Metro Ave, Gallup, NM","United States","87301","America/Denver (UTC:-06:00)"
"APC1","Storage and Distribution Centers (SDC)","Active","38.41232","-121.95661","920 Eubanks Drive, Vacaville, CA","United States","95688","America/Los_Angeles (UTC:-07:00)"
"ATL2","AR Sortable","Active","33.81169","-84.11484","2255 West Park Place Boulevard, Stone Mountain, GA","United States","30087","America/New_York (UTC:-04:00)"
"ATL5","RSR","Active","34.04621","-84.60395","4190 Jiles Road, Kennesaw, GA","United States","30144-1223","America/New_York (UTC:-04:00)"
"ATL6","Sort Center","Active","33.64334","-84.50021","4200 North Commerce Drive, East Point, GA","United States","30344","America/New_York (UTC:-04:00)"
"ATL7","Storage and Distribution Centers (SDC)","Active","33.56392","-84.54236","6855 Shannon Parkway, Union City, GA","United States","30291","America/New_York (UTC:-04:00)"
"ATN1","ASU","Active","36.48067","-87.88347","1322 Donelson Parkway, Dover, TN","United States","37058","America/Chicago (UTC:-05:00)"
"ATN6","ASU","Active","37.24382","-83.17948","1441 East Main Street, Hazard, KY","United States","41701","America/New_York (UTC:-04:00)"
"ATQ40","Delivery Station","Active","31.39432","75.41267","Sultanwind Sub Urban Mahal-II 373, Amritsar, Punjab","India","143001","Asia/Kolkata (UTC:+05:30)"
"ATS1","ASU","Active","46.48945","-84.38081","1301 W. Easterday Ave., Sault Ste. Marie, MI","United States","49783","America/Detroit (UTC:-04:00)"
"ATX1","Fulfillment Center","Active","30.83346","76.07289","Village Katana, opposite Katana Sahib Gurudwara, Ludhiana, Punjab","India","141113","Asia/Kolkata (UTC:+05:30)"
"ATX2","ASU","Active","26.354","-98.77195","5332 E US Highway 83, Rio Grande City, TX","United States","78582","America/Chicago (UTC:-05:00)"
"AUH1","Mixed","Active","24.263","54.46341","Plot 159SR50, Abu Dhabi Industrial City, Abu Dhabi","United Arab Emirates","","Asia/Dubai (UTC:+04:00)"
"AUN2","Returns","Active","47.21865","-122.33011","7449 45TH ST CT E, FIFE, WA","United States","98424","America/Los_Angeles (UTC:-07:00)"
"AUS2","AR Sortable","Active","30.43248","-97.59834","2000 East Pecan St, Pflugerville, TX","United States","78660","America/Chicago (UTC:-05:00)"
"AUS3","AR Sortable","Active","31.49581","-97.17107","2000 Exchange Parkway, Waco, TX","United States","76712","America/Chicago (UTC:-05:00)"
"AUS5","Sort Center","Active","30.02521","-97.85707","2575 Kyle Crossing, Kyle, TX","United States","78640","America/Chicago (UTC:-05:00)"
"AUS9","SPP","Idle","30.67753","-97.65731","SEC I-35 & TX State Hwy 130, Georgetown, TX","United States","","America/Chicago (UTC:-05:00)"
"AVP1","IXD","Active","40.92235","-76.04884","550 Oak Ridge Road, Hazleton, PA","United States","18202","America/New_York (UTC:-04:00)"
"AVP3","AMXL","Active","41.2781","-75.49863","298 First Avenue, Gouldsboro, PA","United States","18424","America/New_York (UTC:-04:00)"
"AVP8","Storage and Distribution Centers (SDC)","Active","41.31307","-75.77245","250 Enterprise Way, Pittston, PA","United States","18640","America/New_York (UTC:-04:00)"
"AVP9","AMXL","Active","41.45664","-75.54606","45 Valley View Circle, Jessup, PA","United States","18434","America/New_York (UTC:-04:00)"
"AVV2","NACF- Devices Global Logistics","Active","-38.09189","145.24165","95 Whitfield Boulevard, Cranbourne West, VIC","Australia","3977","Australia/Melbourne (UTC:+10:00)"
"AWI5","ASU","Active","43.02215","-91.12005","37735 US-18, Prairie du Chien, WI","United States","53821","America/Chicago (UTC:-05:00)"
"AWY2","ASU","Active","44.51731","-109.02293","2101 Roger Sedam Dr, Cody, WY","United States","82414","America/Denver (UTC:-06:00)"
"AZA2","Command Center","Active","33.45358","-112.35734","555 North Litchfield Road, Goodyear, AZ","United States","85338","America/Phoenix (UTC:-07:00)"
"AZA4","AMXL","Active","33.41704","-112.18434","3333 South 59th Avenue, Phoenix, AZ","United States","85043","America/Phoenix (UTC:-07:00)"
"AZA5","Sort Center","Active","33.45343","-112.18876","6000 West Van Buren Street, Phoenix, AZ","United States","85043","America/Phoenix (UTC:-07:00)"
"AZA9","Sort Center","Active","33.52813","-112.4072","6395 North Sarival Avenue, Glendale, AZ","United States","85340","America/Phoenix (UTC:-07:00)"
"BA1","Subsidiary","Active","43.04959","-86.19991","1701 Eaton Drive, Grand Haven, MI","United States","49417","America/Detroit (UTC:-04:00)"
"BA2","Subsidiary","Active","43.04773","-86.19856","1704 Eaton Drive, Grand Haven, MI","United States","49417","America/Detroit (UTC:-04:00)"
"BBI40","Delivery Station","Active","20.30884","85.85777","Sector A Mancheswar Industrial Estate, Bhubaneswar, Odisha","India","751010","Asia/Kolkata (UTC:+05:30)"
"BBI42","Sort Center","Active","20.30866","85.85784","Plot 6C&6D, Sector A, Zone B, Mancheswar Industrial Estate, Bhubaneswar, Odisha","India","751010","Asia/Kolkata (UTC:+05:30)"
"BCN1","AR Sortable","Active","41.31373","2.07535","Avenida de Jes Garrigues number 2-12, El Prat de Llobregat","Spain","08820","Europe/Madrid (UTC:+02:00)"
"BCN3","AMXL","Active","41.46335","1.96213","Can Pelegrf, FERRO Street, Number 12, Castellbisbal","Spain","","Europe/Madrid (UTC:+02:00)"
"BCN4","AR Sortable","Active","42.23679","2.99351","PolÃ­gono Logis EmpordÃ , Girona, El Far dâEmpordÃ¡","Spain","17469","Europe/Madrid (UTC:+02:00)"
"BCN8","Sort Center","Active","41.53238","2.13156","Carrer CanÂ´Alzina, Barbera del Valles","Spain","08202","Europe/Madrid (UTC:+02:00)"
"BDL2","AR Sortable","Active","41.87221","-72.70702","200 Old Iron Ore Road, Windsor, CT","United States","06095","America/New_York (UTC:-04:00)"
"BDL3","AR Sortable","Active","41.41415","-72.84728","409 Washington Avenue, North Haven, CT","United States","06473","America/New_York (UTC:-04:00)"
"BDL4","AR Sortable","Active","41.90351","-72.65898","1215 Kennedy Rd, Windsor, CT","United States","06095","America/New_York (UTC:-04:00)"
"BDL5","Sort Center","Active","41.49596","-72.76112","29 Research Parkway, Wallingford, CT","United States","06492","America/New_York (UTC:-04:00)"
"BDL6","AMXL","Active","41.62938","-72.6845","120 County Line Drive, Cromwell, CT","United States","06416","America/New_York (UTC:-04:00)"
"BDL7","Make on Demand","Active","41.41415","-72.84728","409 Washington Avenue, North Haven, CT","United States","06473","America/New_York (UTC:-04:00)"
"BDQ41","Delivery Station","Active","22.25691","73.18709","Vipor Chemicals PVT.ITD. A2 65/1, Makarpura, Vadodara, Gujarat","India","390010","Asia/Kolkata (UTC:+05:30)"
"BDU2","Returns","Active","39.84721","-104.78389","8350 Quintero St, Commerce City, CO","United States","80022","America/Denver (UTC:-06:00)"
"BDU5","Sort Center","Active","39.84721","-104.78389","8350 Quintero St, Commerce City, CO","United States","80022","America/Denver (UTC:-06:00)"
"BEK1","Lockers +","Active","37.86911","-122.25977","2475 Bancroft Way, Berkeley, CA","United States","94720","America/Los_Angeles (UTC:-07:00)"
"BER6","AFO","Active","52.58417","13.28071","Am Borsigturm 100, Berlin","Germany","13507","Europe/Berlin (UTC:+02:00)"
"BER8","Sort Center","Active","52.33976","13.55819","Am Moellenpfuhl 2, Schoenefeld","Germany","12529","Europe/Berlin (UTC:+02:00)"
"BFI1","AR Sortable","Active","47.24088","-122.24343","1800 140th Avenue E, Sumner, WA","United States","98390","America/Los_Angeles (UTC:-07:00)"
"BFI3","AR Non Sortable","Active","47.11241","-122.63998","2700-2800 Center Drive, DuPont, WA","United States","98327-9913","America/Los_Angeles (UTC:-07:00)"
"BFI4","AR Sortable","Active","47.41413","-122.25771","21005 64th Avenue South, Kent, WA","United States","98032","America/Los_Angeles (UTC:-07:00)"
"BFI5","Sort Center","Active","47.41757","-122.25972","20526 59th Place South, Kent, WA","United States","98032","America/Los_Angeles (UTC:-07:00)"
"BFI7","XLFC","Active","47.24014","-122.23894","1901 140th Avenue East, Sumner, WA","United States","98390","America/Los_Angeles (UTC:-07:00)"
"BFI8","Sort Center","Active","47.41704","-122.30543","20529 24th Avenue South, Renton, WA","United States","98198","America/Los_Angeles (UTC:-07:00)"
"BFI9","HazMat","Active","47.11038","-122.62459","3230 International Place, DuPont, WA","United States","98327","America/Los_Angeles (UTC:-07:00)"
"BFI99","AMS","Active","47.54309","-122.32912","6715 E Marginal Way South, Seattle, WA","United States","98108","America/Los_Angeles (UTC:-07:00)"
"BFL1","AR Sortable","Active","35.44677","-119.0511","1601 Petrol Road, Bakersfield, CA","United States","93308","America/Los_Angeles (UTC:-07:00)"
"BFL2","Traditional Sortable","Active","35.45877","-119.20021","4500 Express AVE, Shafter, CA","United States","93263","America/Los_Angeles (UTC:-07:00)"
"BFL3","SPP","Active","38.7946","-106.53484","2909 Houghton Rd., Bakersfield, CA","United States","93313","America/Denver (UTC:-06:00)"
"BGY1","AR Sortable","Active","45.52831","9.83417","Strada Provinciale 89, Cividate al Piano","Italy","24050","Europe/Rome (UTC:+02:00)"
"BHM1","AR Sortable","Active","33.37776","-87.00569","975 Powder Plant Rd, Bessemer, AL","United States","35022","America/Chicago (UTC:-05:00)"
"BHO44","Delivery Station","Active","23.26024","77.45848","Narela Shankari, JK Road, Bhopal, Madhya Pradesh","India","462023","Asia/Kolkata (UTC:+05:30)"
"BHX1","Traditional Sortable","Idle","52.75379","-1.9221","Towers Business Park, Rugeley","United Kingdom","WS15 1NZ","Europe/London (UTC:+01:00)"
"BHX10","Supplemental FC","Active","52.26534","-1.18853","4 Royal Oak Way N, Daventry","United Kingdom","NN11 8QL","Europe/London (UTC:+01:00)"
"BHX2","Traditional Non-Sort","Active","52.69752","-1.35191","Unit 1, Coalville","United Kingdom","LE67 1FB","Europe/London (UTC:+01:00)"
"BHX3","Traditional Sortable","Active","52.26534","-1.18853","4 Royal Oak Way N, Daventry","United Kingdom","NN11 8QL","Europe/London (UTC:+01:00)"
"BHX4","IXD","Active","52.43165","-1.56061","Lyons Park, Coventry","United Kingdom","CV5 9PF","Europe/London (UTC:+01:00)"
"BHX5","BWS - Beers, Wines and Spirits","Active","52.40637","-1.24752","Waver Way, Rugby","United Kingdom","CV23 OXF","Europe/London (UTC:+01:00)"
"BHX7","Traditional Non-Sort","Active","52.51407","-1.34903","Hinckley 532, Hinckley","United Kingdom","LE10 3FF","Europe/London (UTC:+01:00)"
"BHX8","Sort Center","Active","52.312","-1.87767","UNIT A, BIRMINGHAM","United Kingdom","B98 9AY","Europe/London (UTC:+01:00)"
"BJC1","IXD","Active","39.81118","-104.67355","6300 Powhaton Road, Aurora, CO","United States","","America/Denver (UTC:-06:00)"
"BJX1","Mixed","Active","21.01954","-101.5992","Calle Oliver Evans number 107, Carretera a Santa Ana del Conde, LÃ©on, LeÃ³n, Guanajuato","Mexico","37680","America/Mexico_City (UTC:-06:00)"
"BLNX","Sort Center","Active","13.16557","77.70219","Plot no 12-P@, IT sector of defence, Aerospace, Bangalore, Karnataka","India","562149","Asia/Kolkata (UTC:+05:30)"
"BLQ1","AR Sortable","Active","45.03303","11.56615","Macroarea di San Bellino e Castelguglielmo, Castelguglielmo","Italy","45020","Europe/Rome (UTC:+02:00)"
"BLQ8","Sort Center","Active","44.54707","11.00107","Via San Vito n. 1373, Spilamberto","Italy","41057","Europe/Rome (UTC:+02:00)"
"BLR4","Fulfillment Center","Active","12.97166","77.59445","Plot no. 12/P2 (IT Sector), Bangalore, Karnataka","India","562149","Asia/Kolkata (UTC:+05:30)"
"BLR43d","Delivery Station","Active","13.0219","77.5268","254/A, SYNO:87, Peenya , Yeshwantpur, Bangalore, Karnataka","India","560022","Asia/Kolkata (UTC:+05:30)"
"BLR48","Delivery Station","Active","12.99014","77.60249","#319/1, Thimmaiah Road, Bangalore, Karnataka","India","560052","Asia/Kolkata (UTC:+05:30)"
"BLR49","Delivery Station","Active","12.86089","77.60334","Sy No. 17, Kammanahali Village, Begur, Hobli., Bangalore, Karnataka","India","560076","Asia/Kolkata (UTC:+05:30)"
"BLR5","Fulfillment Center","Active","12.98891","77.81109","No. 38/2 & 39 and 40 Kacharakanahalli Village, Bangalore, Karnataka","India","560067","Asia/Kolkata (UTC:+05:30)"
"BLR7","Fulfillment Center","Active","12.74736","77.73457","Sy.No.524/1 to 527 of Madivala village and Sy No.51/1 of Thatanahalli Village, Bangalore, Karnataka","India","562107","Asia/Kolkata (UTC:+05:30)"
"BLR8","Fulfillment Center","Active","13.16489","77.70151","Plot no# 12/P2, IT Sector, Bangalore, Karnataka","India","562149","Asia/Kolkata (UTC:+05:30)"
"BLR82","Delivery Station","Active","13.02871","77.6312","Site No 1, 2 & 3, Property No 225/2, Ring Road, Bengaluru, Karnataka","India","560043","Asia/Kolkata (UTC:+05:30)"
